family_id,application_domain,study,publication_status,supplement_source_ref,taxonomy_MT_SA_MM_T_M_A_F_AD_H,P1,P2,P3,C,E,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,principal_limitation
11,Autonomous Driving and Vehicle Interaction,LaMPilot: An Open Benchmark Dataset for Autonomous Driving with Language Model Programs,CONF,[65],MT1/SA3/MM2/T3/M0/A2/F1/AD0/H1,P,N,P,C2,E2,L,L,L,S,S,S,L,H,"Bounded simulator execution only; no outcome-responsive agency, operational envelope, or independent safety monitor"
12,Autonomous Driving and Vehicle Interaction,DriveVLM: The Convergence of Autonomous Driving and Large Vision-Language Models,CONF,[69],MT4/SA2/MM3/T3/M1/A2/F3/AD2/H0,D,N,D,C3,E2,L,L,L,L,S,S,L,H,"Onboard demo reported, but evidence is insufficient for E3"
13,Autonomous Driving and Vehicle Interaction,DriveGPT4-V2: Harnessing Large Language Model Capabilities for Enhanced Closed-Loop Autonomous Driving,CONF,[70],MT4/SA1/MM1/T0/M1/A2/F3/AD2/H0,P,N,D,C3,E2,L,L,L,L,S,H,L,H,"Interactive simulation only; no controlled real-road evaluation, independent monitor, fallback, or rollback evidence"
14,Autonomous Driving and Vehicle Interaction,ORION: A Holistic End-to-End Autonomous Driving Framework by Vision-Language Instructed Action Generation,CONF,[71],MT4/SA2/MM3/T3/M1/A2/F3/AD2/H0,D,N,D,C3,E2,L,L,L,L,S,H,L,H,"Closed-loop CARLA evidence only; no public-road operational envelope, monitoring, or safety assurance"
15,Autonomous Driving and Vehicle Interaction,MindDriver: Introducing Progressive Multimodal Reasoning for Autonomous Driving,CONF,[74],MT4/SA1/MM1/T0/M1/A2/F3/AD2/H0,D,N,D,C3,E2,L,L,L,L,S,H,L,H,"No controlled real-road evaluation, declared operational envelope, independent monitor, or calibrated fallback"
16,Autonomous Driving and Vehicle Interaction,V2X-UniPool: Unifying Multimodal Perception and Knowledge Reasoning for Autonomous Driving,WKSP,[75],MT1/SA2/MM2/T1/M2/A0/F0/AD0/H0,D,P,D,C0,E1,L,S,L,L,S,H,L,H,"Offline cooperative-driving data only; no executed control, communication-failure intervention study, or operational authority"
17,Autonomous Driving and Vehicle Interaction,DriveGPT4: Interpretable End-to-End Autonomous Driving Via Large Language Model,JNL,[82],MT4/SA1/MM1/T0/M0/A0/F0/AD0/H0,P,N,D,C0,E1,L,L,L,L,S,S,L,NA,Offline control-signal prediction and question answering do not establish action authority or closed-loop safety
18,Autonomous Driving and Vehicle Interaction,Generalizing End-to-End Autonomous Driving in Real-World Environments Using Zero-Shot LLMs,CONF,[84],MT4/SA2/MM3/T3/M1/A2/F3/AD2/H0,P,N,D,C3,E3,L,L,S,S,S,H,S,H,"Controlled real-world evidence is small-scale and does not establish broad operational envelope, intervention policy, fallback case, or sustained deployment"
19,Signal Control and Public Operations,LLMLight: Large Language Models as Traffic Signal Control Agents,CONF,[28],MT1/SA3/MM2/T3/M1/A2/F3/AD2/H0,P,N,P,C3,E2,L,S,L,S,S,H,S,H,Simulation only; no monitoring or rollback evidence
20,Signal Control and Public Operations,The Crossroads of LLM and Traffic Control: A Study on Large Language Models in Adaptive Traffic Signal Control,JNL,[29],MT1/SA3/MM2/T3/M2/A2/F3/AD2/H0,P,N,P,C3,E2,L,S,S,S,S,H,S,H,Single-intersection simulation and transfer limitations
21,Signal Control and Public Operations,Large Language Models as Traffic Control Systems at Urban Intersections: A New Paradigm,JNL,[30],MT1/SA1/MM2/T0/M0/A1/F0/AD0/H2,P,N,P,C1,E1,S,S,S,H,H,S,S,H,No interactive control evaluation
22,Signal Control and Public Operations,TransitGPT: A Generative AI-Based Framework for Interacting with GTFS Data Using Large Language Models,JNL,[39],MT1/SA3/MM2/T2/M0/A1/F1/AD1/H1+H2,P,P,P,C1,E1,L,S,S,S,S,S,S,S,Code and data validation required
23,Traffic Safety and Incident Management,Using Multimodal Large Language Models for Automated Detection of Traffic Safety-Critical Events,JNL,[34],MT2/SA1/MM1/T0/M0/A0/F0/AD0/H0,P,N,P,C0,E1,L,L,L,S,S,S,S,S,Detection errors and rare-event coverage
24,Traffic Safety and Incident Management,VRU-Accident: A Vision-Language Benchmark for Video Question Answering and Dense Captioning for Accident Scene Understanding,WKSP,[35],MT2/SA1/MM1/T0/M0/A0/F0/AD0/H0,P,N,P,C0,E1,L,L,L,H,S,S,L,S,No matched semantic or modality ablation
25,Traffic Safety and Incident Management,SafePLUG: Empowering Multimodal LLMs with Pixel-Level Insight and Temporal Grounding for Traffic Accident Understanding,JNL,[36],MT2/SA1/MM1/T0/M0/A0/F0/AD0/H0,D,P,D,C0,E1,L,L,L,L,S,S,L,S,No causal or operational safety claim
26,Traffic Safety and Incident Management,AITP: Traffic Accident Responsibility Allocation via Multimodal Large Language Models,CONF,[73],MT2/SA2/MM3/T1/M0/A0/F0/AD0/H0,D,P,D,C0,E1,L,L,L,L,H,S,L,H,"Offline benchmark responsibility allocation is not causal adjudication, legal authority, enforcement evidence, or prospective safety validation"
27,Traffic Safety and Incident Management,ChatScene: Knowledge-Enabled Safety-Critical Scenario Generation for Autonomous Vehicles,CONF,[66],MT1/SA3/MM2/T3/M0/A2/F1/AD1/H1,D,P,D,C2,E2,L,L,L,L,S,H,L,H,"Interactive safety testing is confined to CARLA; generated-scenario validity, coverage, and transfer to real-world risk remain uncertain"
28,Traffic Safety and Incident Management,LLMScenario: Large Language Model Driven Scenario Generation,JNL,[68],MT1/SA1/MM2/T0/M1/A0/F1/AD1/H0,P,P,P,C0,E1,L,S,L,L,S,S,S,NA,Offline scenario synthesis and score-guided refinement do not establish executable simulation authority or transport-outcome-responsive agency
29,Traffic Safety and Incident Management,Automating the Loop in Traffic Incident Management on Highway,CONF,[85],MT1/SA2/MM2/T2/M1/A1/F0/AD0/H2+H4,D,P,D,C1,E1,L,L,L,S,S,S,S,S,"Historical offline decision-support evaluation does not demonstrate executed incident response, prospective operator benefit, or operational safety"
30,"Planning, Simulation, and Human–Machine Collaboration",Agentic Large Language Models for Day-to-Day Route Choices,JNL,[38],MT1/SA3/MM2/T3/M3/A2/F3/AD3/H0,D,N,P,C3,E2,L,S,L,S,S,S,S,H,Behavioural simulation; no operational authority
31,"Planning, Simulation, and Human–Machine Collaboration",ChatSUMO: Large Language Model for Automating Traffic Scenario Generation in Simulation of Urban Mobility,JNL,[40],MT1/SA3/MM2/T2/M0/A1/F0/AD0/H1+H2,P,P,P,C1,E1,L,S,S,H,S,S,S,S,Scenario correctness and simulator assumptions require review
32,"Planning, Simulation, and Human–Machine Collaboration",Speak to Simulate: An LLM-Guided Agentic Framework for Traffic Simulation in SUMO,WKSP,[41],MT1/SA3/MM2/T3/M1/A2/F2/AD0/H1+H3,P,P,P,C2,E2,S,S,S,H,S,S,S,S,Short archival study; no autonomous C3 evidence
33,"Planning, Simulation, and Human–Machine Collaboration",Automating Traffic Model Enhancement With AI Research Agent,JNL,[42],MT1/SA3/MM2/T2/M1/A2/F1/AD1/H3,P,P,P,C2,E1,L,S,L,S,S,S,S,S,Reproducibility depends on artefact and tool traceability
34,"Planning, Simulation, and Human–Machine Collaboration",Editable Scene Simulation for Autonomous Driving via Collaborative LLM-Agents,CONF,[67],MT1/SA4/MM2/T2/M1/A2/F1/AD1/H1,D,N,D,C2,E1,L,L,L,L,L,S,L,S,Offline photorealistic scene editing rather than dynamic traffic-outcome simulation or operational action
35,"Planning, Simulation, and Human–Machine Collaboration",GATSim: Urban Mobility Simulation with Generative Agents,JNL,[72],MT1/SA4/MM2/T3/M3/A2/F3/AD3/H0,D,P,D,C3,E2,S,L,S,S,S,S,L,S,Small-scale/stylised simulation and plausibility-focused evaluation do not establish causal behavioural validity or operational authority
36,"Planning, Simulation, and Human–Machine Collaboration",Large Language Model as Parking Planning Agent in the Context of Mixed Period of Autonomous Vehicles and Human-Driven Vehicles,JNL,[76],MT1/SA2/MM2/T2/M0/A1/F0/AD0/H2,D,P,P,C1,E1,L,S,S,H,S,S,S,S,Real-data planning support is offline; module success rates and subjective indicators do not establish implemented infrastructure outcomes
37,"Planning, Simulation, and Human–Machine Collaboration",Bridging AI and Traffic Simulation: A Robust and Comprehensive Framework for LLM-Based AI Replanning Agents in MATSim,CONF,[77],MT1/SA3/MM2/T3/M2/A2/F3/AD2/H0,P,P,P,C3,E2,L,S,S,S,S,H,S,S,"Narrow EV-charging case in MATSim; behavioural validity, wider failure coverage and sim-to-real transfer remain untested"
38,"Planning, Simulation, and Human–Machine Collaboration",Agentic Traffic Intelligence: Augmented Human-in-the-Loop Scenario Generation for Microscopic Traffic Simulation,JNL,[78],MT1/SA4/MM2/T3/M2/A2/F2/AD1/H1+H3+H4,P,P,P,C2,E2,L,S,S,S,S,S,S,S,"Human-approved scenario execution and calibration remain simulation engineering, not autonomous operational traffic control"
39,"Planning, Simulation, and Human–Machine Collaboration",Large Language Model-Assisted Multi-Objective Optimization for an Integrated Multimodal E-Mobility Platform,JNL,[79],MT1/SA2/MM2/T2/M0/A1/F0/AD0/H1+H2,D,P,D,C1,E1,L,S,L,S,S,S,S,S,"Offline expert-query and route-quality evaluation does not demonstrate traveller adoption, behavioural response or network-level effects"
40,"Planning, Simulation, and Human–Machine Collaboration",Virtual Traffic Police: Large Language Model-Augmented Traffic Signal Control for Unforeseen Incidents,CONF + linked PREP,[80],MT1/SA2/MM2/T3/M2/A2/F1/AD1/H0,D,P,D,C2,E2,S,S,S,S,S,H,S,H,"Simulation-only evidence; self-refinement verifies strategies rather than learning from measured control outcomes, and no field safety case is reported"
41,"Planning, Simulation, and Human–Machine Collaboration",An Efficient Simulation Scene Generation Method Based on Extracted Road Network Topology and Large Language Models,JNL,[81],MT2/SA2/MM3/T2/M0/A2/F1/AD0/H1,D,N,P,C2,E2,S,L,S,S,S,H,S,S,"Simulation validation is downstream of offline scene generation; no outcome-responsive refinement, operational testing, or strong failure analysis"
42,"Planning, Simulation, and Human–Machine Collaboration",ChatSUMO Agent: An LLM-Based Agent for Conversational Traffic Simulation in SUMO,PREP,[83],MT1/SA3/MM2/T3/M2/A2/F3/AD2/H1,P,P,P,C3,E2,L,L,S,S,S,S,S,S,Cutoff-valid evidence is a preprint; simulation-engineering evidence without operational deployment or independent safety assurance
